	ids	body	Uncertainity of Post_Diagnosis	Results and Side-Effects Observed	Medical Assistance	Diet and Maintenance	Information Source	Concepts
0	LIPITOR.449.txt	Extreme tiredness and flatulence. Not sure whether it is the Lipitor but I am now tired to the point of exhaustion. Is it work, is it me getting older or is it the Lipitor??. 	0	1	0	0	0	flatulence|exhaustion|tired|Not sure|Extreme|tiredness|older|Lipitor|Lipitor
1	LIPITOR.188.txt	1/7/05-continued. not all of it posted before. Here is the continuation. I never filled it, as my instincts told me it was something more. I am generally a well balanced type of person. My depression did come on rather suddenly, about the same time as when I started the Lipitor. My advice to you would be to listen to your BODY, it may be trying to tell you something. Try diet and excercise to lower cholesterol (this is Pfizer's recommendation also, see their package insert) But. SORRY Pfizer. this is one gravy train you're not getting everyone on. 	0	1	0	1	0	package insert|depression|Lipitor|cholesterol|Lipitor|cholesterol|advice|listen|train|gravy|continuation|see|balanced
2	LIPITOR.541.txt	So sad to see so many with problems like mine! Progressively worsening problems with joint pain, muscle pain, depression and tiredness. Doctor has ran all sorts of tests and oculdn't find anything wrong, everyone was pointing to arthristis. I stopped taking Lipitor and many of the problems went away after 2 days. I'm not going back to it. 	1	1	1	0	0	muscle pain|joint pain|depression|Lipitor|Lipitor|sorts|like|sad|tests|tiredness|back|see|problems
3	LIPITOR.810.txt	Within 1 month time developed severe depression, inability to pull myself from bed, headaches everyday, and felt like I was coming down with flu. I will never take statins again. My doctor referenced Lipitor as a. 	0	1	0	0	0	severe depression|headaches|Lipitor|statins|Lipitor|statins|month|referenced|pull|like|flu|developed
4	LIPITOR.393.txt	I have been on lipitor for 10 years for heart maintenance 20Mg. Iwas changed to 10Mg and added tricor 145 Mg because of high ldl. I do experience leg weakness and cramping. cramping relieved with Potassium. 	0	1	0	0	0	leg weakness|changed|experience|Potassium|cramping|lipitor|tricor|lipitor|tricor|heart|10 years|added
5	ZIPSOR.3.txt	stiff neck, tightness in shoulders, muscle pain. not recommended. 	0	1	0	0	0	muscle pain|stiff neck|shoulders
6	LIPITOR.538.txt	after one week i started with chest tightness and numness aching feeling to my left arm also pain inbetween both shoulder blades . also would wake up feeling shakey headache and just more tiered. called my dr. he said to stop takeing it. so now i must lower my cholesterol with diet and exercise. not for all . 	0	1	0	1	0	chest tightness|aching|pain|headache|shakey|left arm|feeling|blades|week|wake|said|and exercise|cholesterol|cholesterol|shoulder
7	LIPITOR.345.txt	Sudden, very severe urinary tract infections. It took me 8 years to figure out why I was getting these very sudden and very severe infections every 3 - 5 months. WHen I stopped taking Lipitor, the infections stopped, too. 	1	1	0	0	0	urinary tract infections|infections|Lipitor|Lipitor|very severe|months
8	LIPITOR.614.txt	After a routine check up my cholesterol level was found to be sky high. So two months ago the internist put me on Lipitor for high cholesterol. The lipitor helped in reducing the cholesterol level by 20%. The side effects were terrible! I had for a number of years pain in my hipjoints. The lipitor increased the pain tenfold. I could hardly walk, sit or drive the car. The pain I was experiencing especially around the hipjoints was incredible. I told the specialist about these side-effects and he told me to reduce the dose from 1 a day to 1 every two days!? I had already stopped taking the lipitor for a week and the pain had decreased somewhat. I learned from the pharmacist that this drug can cause wasting of muscles and that it was possible to end up in a wheelchair because of it!! I am going to start on alternative medicines. I am never going to use this medicine again!. 	0	1	0	0	0	cholesterol level|high cholesterol|decreased|possible|sit|effects|somewhat|increased|side effects|Lipitor|lipitor|Lipitor|lipitor|drug|medicines|medicine|learned|drive|wasting|start|week|day|months|pain|wheelchair
9	LIPITOR.211.txt	insomnia, muscle aches. It's 1:00am, taking 10 mg, haven't slept in over a week. Plan to stop taking Lipitor tomorrow. It did lower my cholesterol tho. 	0	1	0	0	0	muscle aches|tomorrow|Lipitor|cholesterol|tomorrow|Lipitor|cholesterol|week|Plan|insomnia
